,Manufacturer,year,DESCRIPTION OF FACTS CAUSING DISENGAGEMENT,Label
21395,AT,20,Prediction discrepancy; incorrect trajectory estimation for a vehicle cutting into lane of traffic,
21376,AT,20,Prediction discrepancy; incorrect yield estimation for a vehicle cutting into the lane of traffic in intersection,
30315,AT,19,"Planning discrepancy; during left turn maneuver, system planned faulty trajectory based on position of proceeding vehicle",
30303,AT,19,Prediction discrepancy; incorrect trajectory estimation of a vehicle turning right from driveway into lane of traffic,
30304,AT,19,Planning discrepancy; system planned incorrect trajectory due to proceeding vehicle exiting parked state,
21344,AT,19,Perception discrepancy; incorrect system detection of passenger opening door,
30298,AT,19,Prediction discrepancy; incorrect trajectory estimation for a vehicle cutting into lane of traffic,
30312,AT,19,Prediction discrepancy; incorrect trajectory estimation of pedestrians walking across the street into the middle of traffic lanes,
3,AB,22,LiDAR was not calibrated properly so our test vehicle got too close to the front vehicle which the AV System uses for tracking. The test driver applied the brakes and the AV System automaticaly disengaged.,
4,AB,22,"There were some areas without Lane marking on I -580, I-5. Our AV System's perception software detects the lane markings but automaticaly disengages after 1 sec if lane detection is lost. Lane detection was lost.",
5,AB,22,"There were some areas without Lane marking on I -580, I-5. Our AV System's perception software detects the lane markings but automaticaly disengages after 1 sec if lane detection is lost. Lane detection was lost.",
6,AB,22,There were some areas without Lane marking on I -880. Our AV System's perception software detects the lane markings but automaticaly disengages after 1 sec if lane detection is lost. Lane detection was lost.,
7,AB,23,"Overcast, heavy traffic, 15 miles, another vehicle crossed in front of our test vehicle at high speed into our lane and then continued to the next lane. Our AV System tracks the vechicle immediately in front of our test vehicle so the AV System accelerated BUT after the high speed vehicle passed to the next lane, the car immediately in front was stopped! The test driver applied the brakes and the AV system automaticaly disengaged.",
5416,AK,23,"The system incorrectly perceived an element in the surrounding environment, resulting in an incorrect motion plan requiring a disengagement",
5382,AK,23,Inaccurate lane-keeping due to inaccurate path planning,
5391,AK,23,Precautionary disengagement by Safety Driver upon judging that vehicle was too close to road boundary,
5343,AK,23,Inaccurate lane-keeping due to incorrectly perceived element in the surrounding environment of the vehicle,
5313,AK,23,Inaccurate lane-switching due to inaccurate path planning,
5315,AK,23,Inaccurate lane-keeping due to inaccurate path planning,
5355,AK,23,System planned inaccurate trajectory to overtake a static object that was partialy blocking the lane,
5349,AK,23,Inaccurate lane-switching due to inaccurate path planning,
5342,AK,23,"The system incorrectly perceived an element in the surrounding environment, resulting in an incorrect motion plan requiring a disengagement",
5429,AK,23,System planned inaccurate trajectory to overtake a static object that was partialy blocking the lane,
5412,AK,23,"System planned inaccurate trajectory to overtake another vehicle, due to inaccurate path planning",
5376,AK,23,System planned inaccurate trajectory to overtake a static object that was partialy blocking the lane,
5394,AK,23,"The system incorrectly perceived an element in the surrounding environment, resulting in an incorrect motion plan requiring a disengagement",
5352,AK,23,"The system incorrectly perceived an element in the surrounding environment, resulting in an incorrect motion plan requiring a disengagement",
5329,AK,23,"The system incorrectly perceived an element in the surrounding environment, resulting in an incorrect motion plan requiring a disengagement",
5381,AK,23,Late deceleration due to incorrect behaviour prediction of another traffic participant,
5327,AK,23,Inaccurate lane-keeping due to object detection discrepancy,
5415,AK,23,"The system incorrectly perceived an element in the surrounding environment, resulting in an incorrect motion plan requiring a disengagement",
5319,AK,23,Inaccurate lane-switching due to inaccurate path planning,
5365,AK,23,Late deceleration due to incorrect behaviour prediction of another traffic participant,
13791,BA,22,Vehicle driver took over for safety. Not stopping at intersection due to inaccurate path planning ,
13784,BA,22,Vehicle driver took over for safety. Incorrect swerving for object due to inaccurate car detection,
13843,BA,22,Vehicle driver took over for safety. Inaccurate lane-keeping due to inaccurate decision making,
13735,BA,22,Vehicle driver took over for safety. Inaccurate lane-keeping due to inaccurate road lines perception,
13832,BA,22,Vehicle driver took over for safety. Precautious disengagement due to construction area,
13804,BA,22,Vehicle driver took over for safety. Inaccurate lane-keeping due to inaccurate decision making,
13856,BA,22,Vehicle driver took over for safety. Incorrect swerving for object due to inaccurate path planning ,
13746,BA,22,Vehicle driver took over for safety. Incorrect swerving for object due to inaccurate object detection,
13715,BA,22,Vehicle driver took over for safety. Inaccurate lane-keeping due to inaccurate car detection,
13887,BA,22,Vehicle driver took over for safety. Inaccurate lane-switching due to inaccurate road lines perception,
13825,BA,22,Vehicle driver took over for safety. Inaccurate lane-keeping due to inaccurate path planning ,
13827,BA,22,Vehicle driver took over for safety. Incorrect swerving for object due to inaccurate path planning ,
13781,BA,22,Vehicle driver took over for safety. Incorrect swerving for object due to inaccurate car detection,
13766,BA,22,Vehicle driver took over for safety. Inaccurate lane-keeping due to inaccurate path planning ,
13859,BA,22,Vehicle driver took over for safety. Not entering intersection due to inaccurate decision making,
13906,BA,22,Vehicle driver took over for safety. Inaccurate lane-keeping due to inaccurate path planning ,
13873,BA,22,Vehicle driver took over for safety. Late acceleration  due to inaccurate decision making,
13711,BA,22,Vehicle driver took over for safety. Not stopping at intersection due to inaccurate traffic sign detection,
13865,BA,22,Vehicle driver took over for safety. Late deceleration due to inaccurate decision making,
13788,BA,22,Vehicle driver took over for safety. Not stopping at intersection due to inaccurate traffic sign detection,
4125,AG,23,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for slow approach to highway onramp with tailgating vehicle behind us.,
4123,AG,23,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for unstable acceleration profile over train tracks.,
14855,AG,22,Accelerator pedal pressed; Unecessary yielding to crossing pedestrian who is beyond the SDC path.,
4196,AG,23,Fusion Grid World module state error.,
4167,AG,23,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for overly cautious braking approaching a lane merge.,
4187,AG,23,Brake pedal pressed to reduce the velocity of the vehicle. Driver took over for a failure to yield at a required yield.,
14818,AG,22,Accelerator pedal pressed; Failure to yield during unprotected left turn.,
4226,AG,23,Driver disengaged with steering input. Driver took over because ego vehicle suddenly made an inappropriate lane change to a lane we did not need to be in.,
14922,AG,22,Brake pedal pressed; Emergency takeover in response to vehicle cutting into our lane.,
14845,AG,22,Fusion Traffic Regulation state timeout; ,
4027,AG,23,"Planning trajectory is in timeout, cycle time broken.",
4218,AG,23,Accelerator pedal pressed to increase velocity of the vehicle. Driver took over because ego vehicle failed to initiate and complete a lane change in the allotted space.,
